Job,Jan 2026,Feb 2026,Mar 2026,Apr 2026,May 2026,Total Jan-May
2025.1015 WBP Lot 4,31758.75,18902.5,0.0,5500.0,0.0,56161.25
2025.966 C5 Bullitt III Logistics Center Warehouse,56050.1,0.0,0.0,0.0,0.0,56050.1
2026.1034 Stella's Ice Cream Shop,0.0,0.0,22860.0,11250.0,18000.0,52110.0
2025.1016 WBP Lot C,25903.13,0.0,0.0,0.0,13081.87,38985.0
2025.979 Groundbreakers,5282.37,32067.74,0.0,0.0,0.0,37350.11
2025.1013 Lucas Oil Corydon,0.0,22500.0,0.0,0.0,10000.0,32500.0
2024.913 Walmart Phoenix,0.0,0.0,25857.0,3055.5,0.0,28912.5
2023.843 Walmart Frederick,0.0,0.0,26200.0,0.0,0.0,26200.0
DS.2026.2404 Flores Sandhu Res,0.0,0.0,20852.65,0.0,0.0,20852.65
2026.1056 Senator Banks Office,0.0,0.0,0.0,0.0,20467.33,20467.33
DS.2026.2387 0204 Jose Irachetta,0.0,20097.86,0.0,0.0,0.0,20097.86
2025.1025 Park 100 - Building 22,19640.0,0.0,0.0,0.0,0.0,19640.0
DS.2026.2376 5724 E Southport Rd,18119.63,0.0,0.0,0.0,0.0,18119.63
2025.1028 Northpoint,0.0,0.0,0.0,17415.0,0.0,17415.0
2025.993 Batesville Public Library,6637.82,4425.21,6267.5,0.0,0.0,17330.53
DS.2026.2406 Premier Custom Homes Quote,0.0,0.0,0.0,17262.74,0.0,17262.74
2024.929 DEEM Warehouse,0.0,0.0,15645.5,0.0,0.0,15645.5
2025.1021 Convivio,2250.0,12458.26,0.0,0.0,0.0,14708.26
DS.2026.2432 Liberty Assisted LIving 0528,0.0,0.0,0.0,0.0,12455.2,12455.2
DS.2026.2380 Mike Valentine 0129,12430.13,0.0,0.0,0.0,0.0,12430.13
DS.2026.2365 GSI Sackstedor Bloomington,11604.16,0.0,0.0,0.0,0.0,11604.16
DS.2026.2401 Flores Kenneland,0.0,0.0,11454.33,0.0,0.0,11454.33
2026.1040 Lakeside Books,0.0,0.0,0.0,0.0,10020.0,10020.0
DS.2026.2412 10732 Heaven Cove Way,0.0,0.0,0.0,0.0,10008.15,10008.15
2025.1031 Pita Way,0.0,8770.5,974.5,0.0,0.0,9745.0
DS.2026.2433 Liberty Assisted Living 0529,0.0,0.0,0.0,0.0,9607.6,9607.6
2025.984 Whiteland Indiana Guard Shack,0.0,0.0,0.0,0.0,9200.0,9200.0
DS.2026.2375 1802 Alabama St,9073.56,0.0,0.0,0.0,0.0,9073.56
DS.2026.2389 Courtyards of Russell Oaks 145,0.0,8375.35,299.6,0.0,0.0,8674.95
DS.2026.2421 Flores Ohio Job,0.0,0.0,0.0,0.0,8624.08,8624.08
DS.2026.2394 5778 Marvie Drive,0.0,8586.04,0.0,0.0,0.0,8586.04
DS.2026.2392 3705 Holiday Farms Blvd - Precision,0.0,8393.53,0.0,0.0,0.0,8393.53
DS.2026.2383 Courtyards of Cielo Ranch 37,0.0,7718.84,0.0,0.0,0.0,7718.84
DS.2026.2363 Courtyards of Westfield 96,7700.52,0.0,0.0,0.0,0.0,7700.52
DS.2026.2400 Courtyards of Russell Oaks 115,0.0,0.0,7645.75,0.0,0.0,7645.75
DS.2026.2378 Courtyards of Westfield 108,7637.37,0.0,0.0,0.0,0.0,7637.37
DS.2026.2410 Courtyards of Russell Oaks 113,0.0,0.0,0.0,7585.02,0.0,7585.02
DS.2026.2369 Courtyards of Westfield 111,7574.01,0.0,0.0,0.0,0.0,7574.01
DS.2026.2377 Courtyards of Cielo Ranch 38,7574.01,0.0,0.0,0.0,0.0,7574.01
DS.2026.2402 Courtyards of Cielo Ranch 17,0.0,0.0,7307.29,240.36,0.0,7547.65
DS.2026.2398 Courtyards of Ceilo Ranch 26,0.0,0.0,7276.63,0.0,0.0,7276.63
DS.2026.2368 Courtyards of Russell Oaks 60,7243.75,0.0,0.0,0.0,0.0,7243.75
DS.2026.2405 21569 Anchor Bay Drive,0.0,0.0,0.0,7033.52,0.0,7033.52
DS.2026.2408 Courtyards of Westfield 107,0.0,0.0,0.0,6956.92,0.0,6956.92
DS.2026.2385 Courtyards of Russell Oaks 123,0.0,6812.24,0.0,0.0,0.0,6812.24
DS.2026.2371 13429 E 116th St,6806.08,0.0,0.0,0.0,0.0,6806.08
2026.1039 Upland Prospect Street,0.0,6500.0,0.0,0.0,0.0,6500.0
DS.2026.2386 Courtyards of Russell Oaks 125,0.0,6318.06,0.0,0.0,0.0,6318.06
DS.2026.2388 Courtyards of Cielo Ranch 13,0.0,6290.19,0.0,0.0,0.0,6290.19
DS.2026.2396 6252 West Turtle Hill Ct,0.0,0.0,6268.5,0.0,0.0,6268.5
2025.983 DEEM Warehouse Drop Ceiling,0.0,6200.0,0.0,0.0,0.0,6200.0
DS.2026.2399 Courtyards of Russell Oaks 74,0.0,0.0,6156.42,0.0,0.0,6156.42
DS.2026.2366 Courtyards of Cielo Ranch 15,6022.94,0.0,0.0,0.0,0.0,6022.94
DS.2026.2370 Courtyards of Westfield 106,5971.55,0.0,0.0,0.0,0.0,5971.55
DS.2026.2407 Courtyards of Russel Oaks 126,0.0,0.0,0.0,5928.42,0.0,5928.42
DS.2026.2418 118 Centre Place,0.0,0.0,0.0,0.0,5520.75,5520.75
DS.2026.2416 52 Centre Place,0.0,0.0,0.0,0.0,5520.75,5520.75
DS.2026.2425 14 Parks,0.0,0.0,0.0,0.0,5520.75,5520.75
DS.2026.2426 121 Centre Place,0.0,0.0,0.0,0.0,5520.75,5520.75
DS.2026.2403 Big Dawg Pickup 0327,0.0,0.0,5302.49,0.0,0.0,5302.49
DS.2026.2428 9 Centre Place,0.0,0.0,0.0,0.0,4962.27,4962.27
DS.2026.2420 7508 Central Ave,0.0,0.0,0.0,0.0,4323.31,4323.31
DS.2026.2384 225 N St Ave,0.0,4271.93,0.0,0.0,0.0,4271.93
DS.2026.2417 117 Centre Place,0.0,0.0,0.0,0.0,4070.62,4070.62
DS.2026.2419 120 Centre Place,0.0,0.0,0.0,0.0,4070.62,4070.62
DS.2026.2372 Big Dawg Pickup 0115,3907.73,0.0,0.0,0.0,0.0,3907.73
DS.2026.2424 10566 Coppergate,0.0,0.0,0.0,0.0,3882.79,3882.79
DS.2026.2411 Clark Remodel,0.0,0.0,0.0,3764.86,0.0,3764.86
DS.2026.2364 GSI 1-6,3762.61,0.0,0.0,0.0,0.0,3762.61
DS.2026.2429 108 Centre Place,0.0,0.0,0.0,0.0,3711.4,3711.4
DS.2026.2430 119 Centre Place,0.0,0.0,0.0,0.0,3411.3,3411.3
DS.2026.2431 123 Centre Place,0.0,0.0,0.0,0.0,3411.3,3411.3
DS.2026.2379 124 S A Street,2632.63,0.0,0.0,0.0,0.0,2632.63
DS.2026.2414 10824 McPherson St,0.0,0.0,0.0,0.0,2611.31,2611.31
DS.2026.2415 10826 McPherson St,0.0,0.0,0.0,0.0,2611.31,2611.31
DS.2026.2423 10816 McPherson St,0.0,0.0,0.0,0.0,2611.31,2611.31
DS.2026.2422 10814 McPherson St,0.0,0.0,0.0,0.0,2611.31,2611.31
DS.2026.2390 510 W Pine St,0.0,2495.07,0.0,0.0,0.0,2495.07
DS.2026.2391 0218 Jose Iracheta,0.0,2072.89,0.0,0.0,0.0,2072.89
DS.2026.2427 Dapp Garage,0.0,0.0,0.0,0.0,2024.87,2024.87
2024.912 Upland Columbus,0.0,0.0,0.0,0.0,2020.0,2020.0
2025.999 Romet PWSI,0.0,1940.0,0.0,0.0,0.0,1940.0
DS.2026.2381 Hunt Addition,1601.79,0.0,0.0,0.0,0.0,1601.79
DS.2026.2374 Precision Pickup 0127,1151.37,0.0,0.0,0.0,0.0,1151.37
DS.2026.2413 Precision Pickup 0501,0.0,0.0,0.0,0.0,1096.76,1096.76
DS.2026.2382 Cohoat House,0.0,1065.45,0.0,0.0,0.0,1065.45
DS.2026.2367 Courtyards of Russell Oaks 126,360.55,0.0,0.0,0.0,0.0,360.55
DS.2026.2397 Courtyards of Cielo Ranch 26,0.0,0.0,360.55,0.0,0.0,360.55
DS.2026.2362 Courtyards of Russel Oaks 127,299.6,0.0,0.0,0.0,0.0,299.6
DS.2026.2395 Courtyards of Westfield 103,0.0,0.0,270.41,0.0,0.0,270.41
DS.2026.2393 Precision Pickup 0216,0.0,252.01,0.0,0.0,0.0,252.01
DS.2026.2373 Precision Pickup 0120,167.78,0.0,0.0,0.0,0.0,167.78
DS.2026.2409 Precision Pickup 0410,0.0,0.0,0.0,107.86,0.0,107.86
2024.874 Noblesville HS Academic Addition & Renovation,-14964.0,0.0,0.0,0.0,0.0,-14964.0
MF.2024.875 Purdue Student Housing,-40103.3,0.0,0.0,0.0,0.0,-40103.3
TOTAL,2479001.91,3525424.88,4583415.25,4672034.07,5022777.27,20282653.38
