Customer,Bucket,Amount,IsRetainage,AsOfDate
Mitsch Design,91+,19000.0,FALSE,2026-06-17
"Novo Development Group, LLC",Current,60165.16,FALSE,2026-06-17
"Novo Development Group, LLC",31-60,-1973.34,FALSE,2026-06-17
Old Town Construction,Current,352057.58,FALSE,2026-06-17
Old Town Construction,31-60,407993.89,FALSE,2026-06-17
Patch Development,Current,15211.87,FALSE,2026-06-17
Patch Development,1-30,44532.3,FALSE,2026-06-17
Patch Development,31-60,1350.0,FALSE,2026-06-17
Patch Development,91+,39000.0,FALSE,2026-06-17
"Patterson Horth, Inc.",91+,143724.99,FALSE,2026-06-17
Precision Dry Wall,Current,26295.22,FALSE,2026-06-17
Precision Dry Wall,1-30,16327.53,FALSE,2026-06-17
Priority Constructors,91+,720.06,FALSE,2026-06-17
"Pro Fix Drywaller, LLC",91+,22972.34,FALSE,2026-06-17
Shiel Sexton,Current,24028.81,FALSE,2026-06-17
Shiel Sexton,31-60,248464.3,FALSE,2026-06-17
Skender Construction of Indiana LLC,Current,647564.65,FALSE,2026-06-17
Skender Construction of Indiana LLC,1-30,708983.51,FALSE,2026-06-17
Skender Construction of Indiana LLC,31-60,134622.54,FALSE,2026-06-17
Skender Construction of Indiana LLC,61-90,111708.94,FALSE,2026-06-17
Skender Construction of Indiana LLC,91+,46273.32,FALSE,2026-06-17
Stenz Corp,Current,9190.37,FALSE,2026-06-17
Stenz Corp,1-30,9000.0,FALSE,2026-06-17
Stenz Corp,31-60,36934.63,FALSE,2026-06-17
Stenz Corp,61-90,18000.0,FALSE,2026-06-17
"The ACTS Collaborative, LLC",Current,28129.5,FALSE,2026-06-17
"The Home Depot, Inc.",91+,585.54,FALSE,2026-06-17
"The Peterson Company, LLC",Current,1164329.53,FALSE,2026-06-17
"The Peterson Company, LLC",1-30,54936.18,FALSE,2026-06-17
"The Peterson Company, LLC",31-60,702311.21,FALSE,2026-06-17
Thompson Thrift Construction,Current,569642.4,FALSE,2026-06-17
Thompson Thrift Construction,1-30,571623.75,FALSE,2026-06-17
Thompson Thrift Construction,91+,51060.0,FALSE,2026-06-17
Total Drywall Solutions Inc,91+,4485.21,FALSE,2026-06-17
"Yaggi's White Glove Delivery, LLC",91+,18935.33,FALSE,2026-06-17
ZMX Inc.,91+,10646.9,FALSE,2026-06-17
(Retainage Receivable),Retainage,3136194.46,TRUE,2026-06-17
